max_speed,speed,acceleration,lookahead,mae
5.0,5.0,0.2,30.0,16.16711956521738
5.0,5.0,0.2,25.0,16.300951086956513
5.0,5.0,0.2,20.0,16.5203804347826
5.0,5.0,0.2,15.0,16.762228260869556
5.0,5.0,0.2,10.0,17.007472826086946
5.0,5.0,0.17833333333333334,30.0,16.110733695652165
5.0,5.0,0.17833333333333334,25.0,16.2860054347826
5.0,5.0,0.17833333333333334,20.0,16.460597826086946
5.0,5.0,0.17833333333333334,15.0,16.695652173913032
5.0,5.0,0.17833333333333334,10.0,16.97078804347825
5.0,5.0,0.15666666666666668,30.0,16.122961956521728
5.0,5.0,0.15666666666666668,25.0,16.2547554347826
5.0,5.0,0.15666666666666668,20.0,16.3953804347826
5.0,5.0,0.15666666666666668,15.0,16.612771739130427
5.0,5.0,0.15666666666666668,10.0,16.872961956521728
5.0,5.0,0.135,30.0,16.02649456521738
5.0,5.0,0.135,25.0,16.165760869565208
5.0,5.0,0.135,20.0,16.300951086956513
5.0,5.0,0.135,15.0,16.500679347826075
5.0,5.0,0.135,10.0,16.79891304347825
5.0,5.0,0.11333333333333334,30.0,15.86277173913043
5.0,5.0,0.11333333333333334,25.0,16.007472826086946
5.0,5.0,0.11333333333333334,20.0,16.1766304347826
5.0,5.0,0.11333333333333334,15.0,16.367527173913032
5.0,5.0,0.11333333333333334,10.0,16.692934782608685
5.0,5.0,0.09166666666666667,30.0,15.673233695652163
5.0,5.0,0.09166666666666667,25.0,15.87499999999999
5.0,5.0,0.09166666666666667,20.0,15.989809782608686
5.0,5.0,0.09166666666666667,15.0,16.235054347826075
5.0,5.0,0.09166666666666667,10.0,16.447010869565208
5.0,5.0,0.07,30.0,15.338994565217382
5.0,5.0,0.07,25.0,15.554347826086946
5.0,5.0,0.07,20.0,15.89741847826086
5.0,5.0,0.07,15.0,16.025815217391294
5.0,5.0,0.07,10.0,16.17187499999999
5.0,5.0,0.04833333333333333,30.0,14.84171195652173
5.0,5.0,0.04833333333333333,25.0,14.999320652173903
5.0,5.0,0.04833333333333333,20.0,15.34171195652173
5.0,5.0,0.04833333333333333,15.0,15.548913043478251
5.0,5.0,0.04833333333333333,10.0,15.72554347826086
5.0,5.0,0.02666666666666667,30.0,13.733695652173909
5.0,5.0,0.02666666666666667,25.0,13.951766304347816
5.0,5.0,0.02666666666666667,20.0,14.294836956521735
5.0,5.0,0.02666666666666667,15.0,14.449048913043473
5.0,5.0,0.02666666666666667,10.0,14.618885869565213
5.0,5.0,0.005,30.0,8.13654891304347
5.0,5.0,0.005,25.0,8.343070652173905
5.0,5.0,0.005,20.0,8.8641304347826
5.0,5.0,0.005,15.0,9.349184782608686
5.0,5.0,0.005,10.0,9.60054347826086
5.0,4.4375,0.2,30.0,16.173233695652165
5.0,4.4375,0.2,25.0,16.300951086956513
5.0,4.4375,0.2,20.0,16.523097826086946
5.0,4.4375,0.2,15.0,16.766983695652165
5.0,4.4375,0.2,10.0,17.016304347826075
5.0,4.4375,0.17833333333333334,30.0,16.097826086956513
5.0,4.4375,0.17833333333333334,25.0,16.30842391304347
5.0,4.4375,0.17833333333333334,20.0,16.451766304347817
5.0,4.4375,0.17833333333333334,15.0,16.70040760869564
5.0,4.4375,0.17833333333333334,10.0,16.960597826086946
5.0,4.4375,0.15666666666666668,30.0,16.146059782608685
5.0,4.4375,0.15666666666666668,25.0,16.221467391304337
5.0,4.4375,0.15666666666666668,20.0,16.39266304347825
5.0,4.4375,0.15666666666666668,15.0,16.638586956521728
5.0,4.4375,0.15666666666666668,10.0,16.899456521739122
5.0,4.4375,0.135,30.0,16.011548913043473
5.0,4.4375,0.135,25.0,16.18749999999999
5.0,4.4375,0.135,20.0,16.291440217391294
5.0,4.4375,0.135,15.0,16.531929347826075
5.0,4.4375,0.135,10.0,16.79211956521738
5.0,4.4375,0.11333333333333334,30.0,15.870244565217382
5.0,4.4375,0.11333333333333334,25.0,16.006114130434774
5.0,4.4375,0.11333333333333334,20.0,16.172554347826075
5.0,4.4375,0.11333333333333334,15.0,16.382472826086946
5.0,4.4375,0.11333333333333334,10.0,16.675271739130427
5.0,4.4375,0.09166666666666667,30.0,15.667119565217382
5.0,4.4375,0.09166666666666667,25.0,15.82133152173912
5.0,4.4375,0.09166666666666667,20.0,15.98233695652173
5.0,4.4375,0.09166666666666667,15.0,16.263586956521728
5.0,4.4375,0.09166666666666667,10.0,16.49999999999999
5.0,4.4375,0.07,30.0,15.367527173913034
5.0,4.4375,0.07,25.0,15.552989130434772
5.0,4.4375,0.07,20.0,15.896059782608686
5.0,4.4375,0.07,15.0,15.88858695652173
5.0,4.4375,0.07,10.0,16.1922554347826
5.0,4.4375,0.04833333333333333,30.0,14.860733695652163
5.0,4.4375,0.04833333333333333,25.0,15.027853260869561
5.0,4.4375,0.04833333333333333,20.0,15.413722826086946
5.0,4.4375,0.04833333333333333,15.0,15.418478260869556
5.0,4.4375,0.04833333333333333,10.0,15.615489130434772
5.0,4.4375,0.02666666666666667,30.0,13.683423913043468
5.0,4.4375,0.02666666666666667,25.0,13.94293478260869
5.0,4.4375,0.02666666666666667,20.0,14.307744565217387
5.0,4.4375,0.02666666666666667,15.0,14.601902173913034
5.0,4.4375,0.02666666666666667,10.0,14.675271739130425
5.0,4.4375,0.005,30.0,8.332201086956513
5.0,4.4375,0.005,25.0,8.421195652173903
5.0,4.4375,0.005,20.0,8.981657608695643
5.0,4.4375,0.005,15.0,9.173233695652163
5.0,4.4375,0.005,10.0,9.545516304347817
5.0,3.875,0.2,30.0,16.169836956521728
5.0,3.875,0.2,25.0,16.302309782608685
5.0,3.875,0.2,20.0,16.521739130434774
5.0,3.875,0.2,15.0,16.786684782608685
5.0,3.875,0.2,10.0,17.01290760869564
5.0,3.875,0.17833333333333334,30.0,16.084239130434774
5.0,3.875,0.17833333333333334,25.0,16.315217391304337
5.0,3.875,0.17833333333333334,20.0,16.474184782608685
5.0,3.875,0.17833333333333334,15.0,16.691576086956513
5.0,3.875,0.17833333333333334,10.0,16.944972826086946
5.0,3.875,0.15666666666666668,30.0,16.122961956521728
5.0,3.875,0.15666666666666668,25.0,16.24116847826086
5.0,3.875,0.15666666666666668,20.0,16.406929347826075
5.0,3.875,0.15666666666666668,15.0,16.593070652173903
5.0,3.875,0.15666666666666668,10.0,16.871603260869556
5.0,3.875,0.135,30.0,16.016304347826075
5.0,3.875,0.135,25.0,16.135190217391294
5.0,3.875,0.135,20.0,16.28328804347825
5.0,3.875,0.135,15.0,16.53328804347825
5.0,3.875,0.135,10.0,16.805706521739122
5.0,3.875,0.11333333333333334,30.0,15.851902173913034
5.0,3.875,0.11333333333333334,25.0,16.007472826086946
5.0,3.875,0.11333333333333334,20.0,16.19904891304347
5.0,3.875,0.11333333333333334,15.0,16.363451086956513
5.0,3.875,0.11333333333333334,10.0,16.688858695652165
5.0,3.875,0.09166666666666667,30.0,15.661005434782604
5.0,3.875,0.09166666666666667,25.0,15.811141304347816
5.0,3.875,0.09166666666666667,20.0,15.974184782608686
5.0,3.875,0.09166666666666667,15.0,16.263586956521728
5.0,3.875,0.09166666666666667,10.0,16.45516304347825
5.0,3.875,0.07,30.0,15.387907608695642
