max_speed,speed,acceleration,lookahead,mae
1.5,1.5,0.005,30.0,7.664402173913036
1.5,1.5,0.005,25.0,7.6066576086956434
1.5,1.5,0.005,20.0,7.828124999999993
1.5,1.5,0.005,15.0,8.347146739130425
1.5,1.5,0.005,10.0,8.756114130434774
1.5,1.5,0.0044,30.0,7.131793478260862
1.5,1.5,0.0044,25.0,7.105298913043469
1.5,1.5,0.0044,20.0,7.4904891304347725
1.5,1.5,0.0044,15.0,7.942255434782599
1.5,1.5,0.0044,10.0,8.389945652173903
1.5,1.5,0.0038000000000000004,30.0,6.894021739130426
1.5,1.5,0.0038000000000000004,25.0,6.616168478260861
1.5,1.5,0.0038000000000000004,20.0,6.751358695652164
1.5,1.5,0.0038000000000000004,15.0,7.796195652173903
1.5,1.5,0.0038000000000000004,10.0,7.674592391304338
1.5,1.5,0.0032,30.0,5.827445652173901
1.5,1.5,0.0032,25.0,6.20923913043477
1.5,1.5,0.0032,20.0,6.095108695652161
1.5,1.5,0.0032,15.0,6.901494565217379
1.5,1.5,0.0032,10.0,7.036684782608683
1.5,1.5,0.0026,30.0,5.234374999999989
1.5,1.5,0.0026,25.0,5.070652173913035
1.5,1.5,0.0026,20.0,5.601902173913033
1.5,1.5,0.0026,15.0,6.291440217391292
1.5,1.5,0.0026,10.0,6.383152173913033
1.5,1.5,0.002,30.0,4.648777173913037
1.5,1.5,0.002,25.0,4.491847826086947
1.5,1.5,0.002,20.0,4.458559782608684
1.5,1.5,0.002,15.0,5.531929347826075
1.5,1.5,0.002,10.0,5.420516304347815
1.5,1.4444444444444444,0.005,30.0,7.499999999999993
1.5,1.4444444444444444,0.005,25.0,7.708559782608687
1.5,1.4444444444444444,0.005,20.0,7.934103260869556
1.5,1.4444444444444444,0.005,15.0,8.675951086956513
1.5,1.4444444444444444,0.005,10.0,8.762907608695643
1.5,1.4444444444444444,0.0044,30.0,7.176630434782598
1.5,1.4444444444444444,0.0044,25.0,7.299592391304338
1.5,1.4444444444444444,0.0044,20.0,6.970788043478251
1.5,1.4444444444444444,0.0044,15.0,8.31249999999999
1.5,1.4444444444444444,0.0044,10.0,8.25611413043477
1.5,1.4444444444444444,0.0038000000000000004,30.0,6.897418478260859
1.5,1.4444444444444444,0.0038000000000000004,25.0,7.04008152173912
1.5,1.4444444444444444,0.0038000000000000004,20.0,6.8328804347826
1.5,1.4444444444444444,0.0038000000000000004,15.0,7.788722826086948
1.5,1.4444444444444444,0.0038000000000000004,10.0,7.537364130434774
1.5,1.4444444444444444,0.0032,30.0,5.8600543478260745
1.5,1.4444444444444444,0.0032,25.0,5.8906249999999885
1.5,1.4444444444444444,0.0032,20.0,6.2282608695652035
1.5,1.4444444444444444,0.0032,15.0,6.920516304347815
1.5,1.4444444444444444,0.0032,10.0,7.415760869565205
1.5,1.4444444444444444,0.0026,30.0,5.422554347826076
1.5,1.4444444444444444,0.0026,25.0,5.572690217391297
1.5,1.4444444444444444,0.0026,20.0,5.273097826086946
1.5,1.4444444444444444,0.0026,15.0,5.87228260869564
1.5,1.4444444444444444,0.0026,10.0,6.468070652173904
1.5,1.4444444444444444,0.002,30.0,5.24796195652173
